city,lat,lon,density
Muscat,23.5841,58.4078,797000
Seeb,23.6703,58.1891,237816
Salalah,17.0151,54.0924,163140
Bawshar,23.5777,58.3998,159487
Sohar,24.3475,56.7094,108274
As Suwayq,23.8494,57.4386,107143
`Ibri,23.2257,56.5157,101640
Saham,24.1722,56.8886,89327
Barka',23.6787,57.8861,81647
Rustaq,23.3908,57.4244,79383
Al Buraymi,24.2509,55.7931,73670
Nizwa,22.9333,57.5333,72076
Sur,22.5667,59.5289,71152
Bahla',22.9789,57.3047,54338
Al Khaburah,23.9714,57.0931,50223
Shinas,24.7426,56.467,48009
Sufalat Sama'il,23.3167,58.0167,47718
Izki,22.9333,57.7667,36203
Liwa,24.5308,56.563,26372
Ibra',22.6906,58.5334,25265
Oman Smart Future City,23.6527,57.5993,25000
Bidbid,23.4079,58.1283,21188
Badiyah,22.45,58.8,18479
Khasab,26.1799,56.2477,17904
Adam,22.3793,57.5272,17283
Yanqul,23.5865,56.5397,16599
Al Qabil,22.571,58.6947,14008
Bayt al `Awabi,23.3032,57.5246,10711
